A,B,C
DR S S MANN,,
D.C. AGENCIES - INDORE (ASCENT WELLNESS AND PHARMA SOL. PVT. LTD),,
KHERA PHARMA PVT.LTD.,,
DR BIJAYLAXMI PANIGRAHI- BHUBANESWAR,,
GOYAL MEDICAL -AMRAVATI,,
DR SUBRAT KUMAR PATEL- BHUBANESWAR,,
SAI MEDICALS (S&B),,
HEERA PHARMACY - S&B,,
DR ISHITA DUA - GWALIOR,,
RPGUPTA PHARMAMED PRIVATE LIMITED,,
ACORNS HEALTH SOLUTIONS PRIVATE LIMITED,,
DARBESH MEDICAL ENTERPRISES,,
CLASSIC ENTERPRISES,,
TULSI CORPORATION,,
SHIVALIK AGENCIES,,
RANJITHA TRADERS,,
ASHUTOSH MEDICALS,,
SHRI DATTA AGENCIES - CHANDRAPUR,,
BHADRAKALI AGENCIES,,
"DR ASHITHA MOHANDAS - CALICUT	",,
DR DURGA BHAVANI BATTULA - VIZAG,,
DR NAYAN KALAWADIYA-RAJKOT,,
DR RAMEEZ RAJA - VIZAG,,
DR NAMRATA SHUKLA - BARODA,,
DR ABINAYA MANOJKUMAR - TIRUPUR,,
DR R SENTHILKUMAR - TIRUPUR,,
"DR VISHNU MAHESH - CALICUT	",,
DR SHUCHI VERMA - GURGAON,,
DR VAMSHI KRISHNA M - HYDERABAD,,
JAIGURU TRADING CO.,,
DR NAVYA M - BANGALORE,,
SURAKSHA KIDZ PHARMACY,,
BAFNA MEDICAL AGENCY,,
DR RISWANA NASRIN - CHENNAI,,
DR K SAI SWETHA - CHENNAI,,
PATEL PHARMA,,
DR SAKINA BOHRA - JABALPUR,,
DR SUJIT DEBBARMA - AGARTALA,,
Dr.ASLAM K AHAMMED - ERNAKULAM,,
AURICURIS PHARMA,,
MATRIX SURGICALS,,
Dr. AMULYA M.L - MYSURU,,
DR AKHIL AGRAWAL - JAIPUR,,
DR.SOWMYA PANUGANTI - HYDERABAD,,
DR K S TEJA VINOD KUMAR - VIZAG,,
DR SURESH KUMAR BALI - DELHI,,
DR. SOWMYA.J - BANGALORE,,
DR ABHINESH.N - CHENNAI,,
SHAH MEDICINE,,
DR ASWIN SREEDHAR - ERNAKULAM,,
DR DILIMPOU PAMEI – IMPHAL,,
DR.INDHI REDDY YAMINI - Hyderabad,,
DR AMJID ALI - SRINAGAR,,
KAMLESH UPALE,,
"DR VIVEK MUTHUKUMARASAMY	 - COIMBATORE",,
GALAXYSTAR PHARMA DISTRIBUTOR PVT LTD,,
SHREE ATAM VALLABH MEDICAL HALL,,
A SUHASINI - VIZAG,,
DR K.KALPANA - COIMBATORE,,
KALINGA MEDICAL AGENCIES,,
SRI ANJANI AGENCIES,,
SWETHA MEDICALS,,
ANUP MEDICARE LLP,,
SIDDHARTH ENTERPRISES,,
R. P. GUPTA & CO.,,
SUMAN AGENCIES HYD PVT LTD,,
DR.ASHWINI  KANDIKATLA,,
MANESAR RX S&B PISPL(LUDHIANA),,
INDIAN DRUG HOUSE,,
RAJ MEDICOS,,
SUJAY DALAL,,
DR. ABJEET KUMAR - PATNA,,
CHIRAG MEDICARE SOLUTIONS PVT. LTD. -DAVANGERE,,
DR RAKESH BISWAS - AGARTALA,,
SOMA AGENCY,,
SHIBA DURGA MEDICAL,,
M/S AVISSHA PHARMACY,,
PHARMACEUTICALS HOUSE,,
DR DEBAYAN DAS,,
DR. SWATHINEE VENKATESAN - CHENNAI,,
DR RAJEEV VIJ - DELHI,,
Dr. MOHAMMED  SHAHID ANSARI - BHADRAVATHI,,
DR GNANASEKARAN - MADURAI,,
ZIYAHUL YASIER,,
REJUVADERM PHARMACY (DR. AASAWARI JACHAK),,
"DR Y SESHAGIRI RAO - VIJAYAWADA	",,
METRO CASH & CARRY INDIA PVT. LTD-DC 27-BL-6(MYSOREROAD),,
SANGVI AGRO PULSES -  HYDERABAD,,
PARITA DISTRIBUTORS,,
DR KONSAM NIRUPAMA DEVI - IMPHAL,,
PRADEEPKUMAR M,,
GP PHARMACY C/O DR POONAM CAPLASH,,
LEO CLINICAL DIAGNOSTIC CENTRE TALIPARAMBA LLP( (DR. ANJALI ROSE JOSE),,
SRI N.V.S AGENCIES,,
SHIVAEY MEDIBUTORS PVT. LTD.,,
Dr K.L. GARG - HANUMANGARH,,
ANUBHAVI SALES,,
NIHA PHARMACY,,
DR SNEHA VANAPALLI - VIZAG,,
DR PRASHANT SHIMPI - MUMBAI,,
DR VIPPAN GOYAL - PATIALA,,
METRO CASH & CARRY INDIA PVT. LTD-DC 26-BL-5(WHITEFIELD),,
MADAN SHARMA & CO.,,
AMRITLAL & BROTHERS PHARMACEUTICALS DISTRIBUTORS,,
DR. NIDHI MITTAL - LUDHIANA,,
DR SUPRABHAT KUMAR - NELAMANGALA,,
BANSAL DISTRIBUTORS PVT. LTD.,,
BERLIA DISTRIBUTORS,,
SADGURU AGENCY,,
METRO CASH & CARRY INDIA PVT. LTD-DC 11-BL-2(KANAKAPURA),,
DR.SHWETAL RATHI - AMRAVATI,,
SHREE RAM MEDICAL STORE,,
DESAI & COMPANY,,
S SENTHIL KUMAR,,
Dr. SHASHI BHUSHAN PRASAD - RANCHI,,
DR SEEMA QAYUM - SRINAGAR,,
DR SHAH AAQIB ASLAM - SRINAGAR,,
DR.RUPALI TARI - MUMBAI,,
DR P V RAGHAVAIAH - TIRUPATHI,,
NIRMAL MEDICAL STORES,,
DR SHRUTI KOHLI - DELHI,,
DR AAKASH BHAYANA - DELHI,,
PAUL UDYOG,,
DR PUSHPA SINGH - DELHI,,
DR VIJENDRA KUMAR SAINI - JAIPUR,,
DR SHARADA PATIL - BELAGAVI,,
SHREE DURGA DRUGS,,
Dr D SOUJANYA - VIZAG,,
DR SANJAY KUMAR SHARMA - NAGPUR,,
UNIVERSAL MEDICAL AGENCY,,
AGARWAL GIFT HOUSE,,
DR KARTHIKA A - KARUNAGAPPALLY,,
YANSH TRADERS,,
ABHISHEK K C,,
RAJ MEDICAL AGENCIES,,
S & H PHARMACETICALS,,
M IMRAN AHMED - RX,,
EXCEL MEDICARE (DR ANGSHUMAN BHATTACHARJEE),,
DR PUSHPA KHURANA - CHANDIGARH,,
SRI GAYATHRI MEDICALS,,
DR M LAXMI SUDHA - HYDERABAD,,
VISHAL WAGH RX,,
DR ASHIMA R CHANDRAN - KANHANGAD,,
CHETHANA PHARMA PVT LTD -DAVANGERE,,
"DR. TARUNKRISHNA K.S - TRICHUR	",,
DR DIVYA SRI - HYDERABAD,,
MILAN MEDICAL AGENCY,,
TAH DISTRIBUTORS - GIPL RX-ND,,
R. K. DISTRIBUTORS,,
DR TSERING PEGGY THANGSARPA - SILIGURI,,
SAI KRUPA MEDICAL,,
DR S.JYOTI BAPOOLE - HYDERABAD,,
DR.SHETE'S SKIN & HAIR CLINICS LLP,,
PARVATHY AGENCIES-CHOOLAIMEDU,,
DEY DRUG DISTRIBUTOR,,
GM DRUG DISTRIBUTORS,,
METRO CASH & CARRY INDIA PVT LTD DC-30-NASHIK,,
PATEL MEDICAL STORES,,
DR.POONAM NEGI - BANGALORE,,
DR ISHA V MITTAL,,
SURYA ENTERPRISES,,
DR DEEPAK PATEL - AHMEDABAD,,
DURGA MEDICAL HALL,,
TAPADIYA DISTRIBUTORS,,
K&K MARKETING,,
DR RAHUL BALMIKI,,
DR ANVESH AMITI - VIZAG,,
CAPITALG HEALTHCARE MULTIVENTURES PRIVATE LIMITED,,
HYATT CLINIC & DIAGNOSTIC CENTRE (DR RUXANA K),,
 DR PAWAN KUMAR - NEW DELHI,,
DR KEERTHANA KALVA - HYDERABAD,,
NAVEEN DISTRIBUTORS,,
REVEL WELLNESS CENTRE PRIVATE LIMITED( DR CHARISMA K K),,
SHREE NATH PHARMA,,
LUXURY HOUSE,,
JAISWAL MEDICAL AGENCY,,
JYOTI AGENCIES(GALDERMA),,
DR KANCHANA SEETHA,,
MANGAL MEDICAL STORE,,
DR.S.DIVYA - COIMBATORE,,
PHARMACY WHOLESALE DIVISION,,
M/S SKINIC PHARMACY C/O DR.VIBHOR KAUSHAL,,
SUSAMA DRUG DISTRIBUTORS,,
KOTALWAR DISTRIBUTORS,,
KAVYA INTERNATIONAL,,
CHARVI TRADING,,
SHIVAM DISTRIBUTORS-Galderma,,
M.M. DRUGLINKS,,
DR.ARPANA SALVE,,
RANA MEDICOS,,
SARASWATHI PHARMA AGENCIES - Galderma RX,,
PHARMA SEVA,,
DR. YUTI NAKHWA - S&B,,
K.P.MEDICINE AGENCIES,,
SOMNATH GHOSH-064642,,
PROF TAX - COMMON,,
S.P.MEDICINES PVT. LTD.,,
MAHENDRA MEDICAL AGENCY-Galderma,,
NEW R.R.PHARMACEUTICAL DISTRIBUTOR,,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) JHAJJAR,,
DR BHUPENDRA THUMMAR - SURAT,,
DR SATISH ADULKAR - NAGPUR,,
DR. MAYANK SINGH - PRAYAGRAJ,,
ELISHA ENTERPRISES,,
DEEPAK SALES AGENCIES,,
MANIPUR DRUG HOUSE-Galderma,,
DR VARUN SARIN C/O HANUMAN MEDICOS,,
DR WALIA'S SKIN & LASER CLINIC,,
PISPL-Patna(GIPL RX-ND),,
DR KOMAL PARWANI,,
RAJASTHAN MEDICAL AGENCIES,,
SWASTIK ENTERPRISES,,
DR SAURABH JINDAL - NEW DELHI,,
E- STORES TRADING COMPANY,,
DR CHRISTIN APARNNA S L - KOLLAM,,
ANAYA SALES,,
MAIDEN DISTRIBUTORS LTD,,
ANMOL MEDICAL STORE,,
RATHNA AGENCIES - MADURAI,,
AMBADNYA CHEMIST AND DRUGGISTS,,
SRI SARADHA MEDICAL AGENCIES,,
PALEPU PHARMA DISTRIBUTORS PRIVATE LIMITED - MADURAI,,
DR RACHITA DHURAT - S&B,,
ALANKRITA AGENCIES,,
NITIN MEDICAL AGENCY,,
(DO NOT USE)USHA MEDICOSE-Galderma India Pvt. Ltd.,,
KAVYA MEDICAL STORES,,
DR.ISMAIL SHAIKH,,
KALINGA PHARMATECH - (ASCENT WELLNESS AND PHARMA SOL. PVT. LTD),,
MAYA IMPEX,,
DR POOJA MITTAL,,
PURAV CHEMIST,,
ANNAPURNA PHARMA AGENCY PVT.LTD.,,
DR SMITA KASHYAP ,,
SOME ENTERPRISE,,
VANDANA MEDICAL AGENCIES,,
DR DEEPAK KUMAR,,
R K MEDICO,,
SHRI MEDICAL - AKOT,,
MEDCART HEALTHCARE,,
OJAS MEDICAL,,
PISPL-Vahuli BGR 7(GIPL C&F-ND),,
SATYAM DISTRIBUTORS,,
DR.SUMAN GUPTA,,
DR NEERAJ BHABAN,,
DR MOHIT GUPTA - DELHI,,
NEW JOSHI MEDICAL,,
DR SUDHANSHU KUMAR,,
AURO PHARMACEUTICALS,,
J.L.DISTRIBUTORS,,
ABHISHEK MEDICAL AGENCIES,,
DR NANCY LALNUNPUII,,
PHARMA DEAL,,
SAHYADRI DISTRIBUTORS,,
R B DRUG DISTRIBUTOR,,
RAM MEDICO,,
RAMAN ENTERPRISES,,
COSMEDIQ HAIR TRANSPLANT AND SKIN CLINIC,,
METRO CASH & CARRY INDIA PVT LTD DC-54-GHAZIABAD,,
SAMRUDDHI MARKETING,,
MARUTHI MEDICALS ,,
SWATEJ PHARMA,,
DR ASWATHI MOHAN,,
FOURBRO PHARMA DISTRIBUTOR PVT LTD,,
YOGIRAM HEALTH CARE,,
DR. HETAL PATHAK,,
GEM DISTRIBUTORS,,
CITY DISTRIBUTORS,,
LUCKNOW RX S&B PISPL(HQ-GORAKHPUR),,
MAHAVEER MEDICAL AGENCIES,,
DR BHARGAV BHUYAN,,
METRO CASH & CARRY INDIA PVT. LTD-DC 46-DL (FUNCITYMALL),,
ALWAYS NEW-SRI NAGAR (HQ- SELF- MEDICATION),,
DIPAK RAJ AGENCY,,
DR BINOD KUMAR THAKUR,,
MARUTI & COMPANY,,
DR.NIRUPAMA KONSAM,,
STAR AGENCIES,,
RAJVEER PHARMA,,
PARAMATHMA ENTERPRISES,,
TARAK NATH DISTRIBUTORS,,
MYNTRA JABONG INDIA PRIVATE LIMITED-BHIWADI,,
SPICEJET LIMITED,,
DR AYUSH AGRAWAL C/O NEW BALAJI MEDICAL STORE,,
M/S SHIV MEDICALS,,
GOURI AGENCY,,
DR SNEHAL AGRAWAL CHAWLA,,
DR RATNAKAR SHUKLA,,
M/S P.K. PHARMA C/O DR. Z I USMANI,,
N. R. DAS AGENCY,,
MADAN PHARMACY C/O AMIT MADAN,,
NEUROLOGY PHARMACY C/O DR. AAKANKSHA JUYAL,,
SAHARA PHARMA COMPANY,,
VASU PHARMA DRUGS PRIVATE LIMITED,,
DR PRAJCT SAO,,
VARDHMAN MEDISALES PVT LTD. (SHIVAMOGGA),,
DRUG HOUSE KHANDWA,,
METALLICA ENTERPRISES,,
HYGIA HEALTH CARE,,
METRO CASH & CARRY INDIA PVT. LTD-DC 48-PB-3 (AMRITSAR),,
GUPTA AGENCY,,
SOBEG SINGH SAHNI & SONS,,
LEELA MEDICAL STORES,,
LPH PHARMA PVT LTD,,
DR SANJIV GOYAL,,
MAHAKALI MEDICAL STORES,,
RELIEF DRUG AGENCY,,
M/S PAFEX MARKETING,,
M/S CHAWLA GENERAL STORES,,
SANGVI AGRO PULSES - BHIWANDI,,
DR JAVED AKHTAR,,
BIRBHUM DISTRIBUTORS,,
M/S LAXMI DRUG DISTRIBUTOR,,
PRANTIK DRUG DISTRIBUTORS,,
SHRI LIDO KAMGO(M/S. PEMORESSE PHARMA),,
M/S GALAXY MEDICO,,
SURANA PHARMA,,
ZEPHYR (HYDERABAD),,
SHARMA DRUG DISTRIBUTOR-Galderma India Pvt. Ltd.,,
NEELKANTH PHARMA LOGISTICS PRIVATE LIMITED,,
SANJAY STORES-Galderma,,
PATNA RX S&B PISPL(HQ Cetaphil Patna / RX  Patna),,
DRUG HOUSE,,
PRASANTA UDYOG PHARMACEUTICALS,,
K.B.SHAH & COMPANY,,
SINGHANIA SKIN CARE PRIVATE LIMITED - S&B,,
TOY VILLE,,
DR KARTHIKA A,,
ANAND DISTRIBUTORS - RX-ND,,
M/S PRAKASH MEDICALS C/O DR DEEPIKA AGARWAL,,
DIVYANSHI MEDICOS C/O DR GAURAV BHASKAR,,
METRO CASH & CARRY INDIA PVT LTD DC-37(MOGALRAJPURAM),,
DR ATULA GUPTA,,
SARANG DISTRIBUTORS,,
MAHARAJ MEDICAL,,
SAMARTH MEDICAL STORES ( DR. SATISH ADULKAR ),,
KOLKATA RX S&B PISPL(HQ CETAPHIL / RX  SILIGURI),,
STAR CHEMIST AND DRUGGIST,,
MAMTA DHAYAL,,
DR SANA BHAMLA KHAN,,
DR. TARUNKRISHNA K.S,,
ALLIANCE PHARMACY C/O DR RAVDEEP SINGH,,
VISHAL MEDICAL AGENCIES,,
JOSEPH PHARMACEUTICALS,,
DR MANIR ANSARI,,
DAWAIWALA ENTERPRISES,,
DR HARI DAS MOULE,,
DR MRINMAYEE MUKUND,,
KISHOLOY PHARMACY (DR. ASRAFUL A MIRZA),,
JINDAL DRUG HOUSE,,
DR BIJIPRASAD,,
KESHO RAM & SONS,,
DOCTORS AESTHETICS CENTRE(DR GEORGE VARGHESE),,
FAIRDEAL DISTRIBUTORS,,
DR DIPANJALI SINGH,,
SKIN SQUARE (DR ATUL BOTHRA) - S&B,,
SINGAL MEDICAL HALL & COMPANY,,
SKINACCESS MEDICAL,,
AADARSH PHARMA,,
NEW SHAKTI DISTRIBUTORS,,
RSR MEDICALS,,
KANARA DISTRIBUTORS,,
SHANKAR MEDICO,,
DR ANJANA GALA ,,
SATEJ MEDICALS,,
LASYA MEDICALS,,
PISPL-Vahuli BGR 7(GIPL RX-ND),,
DR JATIN SHARMA,,
METRO CASH & CARRY INDIA PVT. LTD-DC 43-PB-3(ZIRAKPUR),,
THE BHARAT GENERAL STORE (Dr. Ashish Kumar Nayak),,
FRIEND DRUG SUPPLY-BARASAT,,
SK Pucore India Private Limited,,
ABHAA WELLNESS (DR. SUBHASHREE SUBHRAJYOTI),,
JAGANATH ENTERPRISES,,
ASPIRE CLINICS LLP (DR. ARUN KUMAR PATRO),,
SHIV SHAKTI PHARMA,,
DR RAHUL SHETTY,,
SHYAMKRUSHNA MEDICAL AND GENERAL STORES,,
TRADE LAND,,
MANGAL PHARMACARE LLP,,
A.B. MARKETING,,
DR VIGYA GUPTA,,
CLASSIC AGENCY,,
BRUNDAVANA MARKETING,,
PISPL-Ahmedabad (GIPL RX-ND),,
PISPL-Delhi(GIPL RX-ND),,
PISPL-Hyderabad(GIPL RX-ND),,
AVENUE PHARMA DISTRIBUTORS -BASVANGUDI,,
PISPL-Chennai Ponneri(GIPL RX-ND),,
PISPL-Bengaluru(GIPL RX-ND),,
PISPL-Lucknow(GIPL RX-ND),,
CHETHNA HEALTHCARE SOLUTIONS PVT. LTD. - KALABURAGI,,
Nagpur-GIPL-RX-S&B(S&B Akola),,
PISPL-Nagpur(GIPL RX-ND),,
Guwahati-GIPL-RX-S&B,,
SHANMUGA MEDICAL AGENCIES,,
PISPL-Vijayawada(GIPL RX-ND),,
KIRAN MEDICAL AGENCIES,,
PACHOULI WELLNESS CLINIC LLP - NOIDA,,
GUPTA MEDICAL STORE-Galderma,,
SOURAV MEDICINE DISTRIBUTORS,,
SIND DISTRIBUTORS,,
HELP AT HAND RETAIL MEDICNE SHOP (DR.DIBYENDU CHAKRABARTY),,
SAI SRINIVASA,,
DR JAGAT NARAYAN SAHOO,,
DR PRIYA FERNANDEZ,,
PISPL-Jaipur(GIPL RX-ND),,
NIGHTINGALE PHARMA,,
KHALSA MEDICAL AGENCY,,
GEETHA AGENCIES,,
OM MEDICAL & GEN.STORE,,
DR MEENAL MITTAL,,
KOLKATA RX S&B PISPL(HQ CETAPHIL Howrah / RX Howrah),,
DR SUJIT DEBBARMA,,
PISPL-Indore(GIPL RX-S&B),,
NAINANI HEALTHCARE PRIVATE LIMITED,,
DR PRAMOD AGARWAL C/O AGARWAL PHARMACY,,
KRISHNA TRADING CO,,
M/S  S.M. AGENCY,,
DR. SARTAJ SINGH - AMRITSAR,,
VIJAYWADA RX S&B PISPL(HQ-Hyderabad),,
M/S MILAN STORE,,
LIFEMATE INDIA PVT.LTD.,,
LIFELINE PHARMA DISTRIBUTORS PVT LTD,,
M/S SHREE SHIV AGENCY,,
M/S SAKET PHARMACY C/O DR.PALLAVI SRIVASTAVA,,
DR SUNIL MENON,,
DR AFRA TP,,
THANU AND COMPANY,,
DR SHILPA MRINAL,,
BHANDARI MEDICAL AGENCY,,
TRESARA HEALTH LIMITED - CHENNAI,,
DR ARCHITA SAHOO - BHUBANESWAR,,
DR PALKI SHARMA - JAMMU,,
LUCKNOW RX S&B PISPL(HQ-LUCKNOW),,
S & S TRADERS - NAGPUR,,
Nagpur-GIPL-RX-S&B(S&B Nagpur),,
SIDHI ENTERPRISES,,
DR NAVEEN KUMAR,,
ECONOMIC MEDICAL STORES,,
DR PAYAL GUPTA - DELHI,,
TATA 1MG HEALTHCARE SOLUTIONS PRIVATE LIMITED (DELHI),,
TATA 1MG HEALTHCARE SOLUTIONS PVT. LTD(KOLKATTA),,
Patna-GIPL-RX-S&B,,
VARDHMAN MEDISALES PVT LTD-(MANGALORE),,
DR MOHAMMAD KAYUM,,
ARVS AGENCIES,,
PANDIT SCALE COMPANY,,
MEDIHAUXE PHARMACEUTICALS PVT LTD,,
DR. SAMEER PUNDEER - CHANDIGARH,,
Kolkata-GIPL-RX-S&B,,
SHREEYASH  MEDICAL STORES,,
SIDDHARTH DRUGS PRIVATE LIMITED,,
OCEAN PHARMA,,
DR ARPANA SALVE - AURANGABAD,,
KUMARAN PHARMA,,
INFIBEAM AVENUES LIMITED,,
TIRUMALA ENTERPRISES,,
VIGHNAHARTA,,
PALEPU PHARMA PVT.LTD.(S&B) ERODE,,
SRI BALAJI MEDICAL AGENCIES,,
SRI PARSHAVA DRUG HOUSE,,
CHOUDHARI MEDICAL AGENCIES,,
PRATIKSHA PHARMA,,
RESOURCE LIFESCIENCES,,
RAJPUTANA AGENCIES E-COM,,
JYOTI AGENCIES - Do not use,,
VADAMALAYAN MEDI PHARMA,,
P M PHARMACEUTICALS (MT),,
SONI PHARMACY C/O DR PANKAJ SONI,,
VIJAYWADA RX S&B PISPL(HQ-GUNTUR),,
Vijayawada-GIPL-RX-S&B(S&B),,
KRISHNAKRUPA MEDICAL AND STORES-PUNE 4,,
APOLLO HEALTHCO LIMITED-HARAYANA,,
GEETHA MEDICALS,,
SATYA MEDICAL HALL,,
FLIPKART INDIA PRIVATE LIMITED (RAIGAD),,
FLIPKART INDIA PRIVATE LIMITED (BLR_WFLD),,
Vahuli-GIPL RX-ND-Ecom,,
PISPL-Guwahati(GIPL RX-S&B),,
ANIL KUMAR.M.L-017932,,
M/S A.N DERMA SKIN & HAIR CARE CLINIC C/O DR FARHEEN BANO,,
BHARATH ENTERPRISES,,
RISHAB SALES AGENCY,,
SRI VENKATESWARA MED AGEN,,
P.VENKATARAMANA,,
SYNOVA,,
SUDEEP MEDICO,,
GREENSPECIALITIES PRIVATE LIMITED,,
BHAIRAV HEALTH AND WELLNESS PVT LTD,,
DURGA SALES,,
SANGVI AGRO PULSES - KOLKATA,,
VRINDA MEDICAL AGENCIES,,
ROHIT AGENCIES,,
M/S KLG MEDICOS C/O DR VIJAY GUPTA,,
BIRTHPLACE HEALTHCARE PVT LTD-BANJARA HILLS,,
SHREE UNITED PHARMA AGENCIES,,
DR ASHIMA R CHANDRAN,,
GAYATRI MEDICALS,,
SARASWATHI MEDICALS,,
DEVADEVA DRUG CENTER,,
SKINCURE MEDICAL (Dr. Ajay Pandey) ,,
MODI MEDICAL STORE,,
METRO CASH & CARRY INDIA PVT. LTD-DC 47-PB (JALANDHAR),,
DR ALI MOHAMMAD ABDI,,
M/S AMBER COSMETOLOGY CLINIC LLP C/O DR NAZNIN HOLIA,,
DR PRIYA FERNANDEZ,,
CUTISINTERNATIONAL COSMETIC CLINICS PRIVATE LIMITED (Dr.SARANYA T .M ),,
SKIN CARE CENTRE(R.P SONI),,
SUBHANKAR PAUL-071265,,
SHRI RAJ MEDICOS,,
Sai Distributors-Galderma India Pvt. Ltd.,,
DR PALLAVI CHAWLA,,
PAYTM PAYMENTS SERVICES LIMITED,,
TARANNUM IMTIYAZ (Skin AND HAIR CLINIC),,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) PUNE,,
THE SIMPLY SKIN STORE - S&B,,
BLR LOGISTIKS (I) LIMITED - Customer,,
RELIANCE RETAIL LIMITED - SM AHMEDABAD,,
NYKAA E-RETAIL PRIVATE LIMITED ( Bhiwandi)(DO NOT USE),,
ALOE CHEMIST,,
NEOPHARMA ENTERPRISES,,
DARPAN ENTERPRISES,,
ELEGANT MEDICOSE,,
CURATIO HEALTH CARE (I) PVT.LTD,,
VRIDAAN MEDICALS-Galderma India Pvt. Ltd.,,
GODAVARI PHARMA SALES PVT LTD,,
VPI MEDISALES PRIVATE LIMITED(DO NOT USE),,
M/S RANCHI BANDAR,,
SUN ENTERPRISES - NADIA,,
FAIRMINT TRADING PRIVATE LIMITED,,
ZEPHYR,,
AAR DEE DISTRIBUTION HOUSE,,
SURESH MEDICAL STORES,,
DEEP SAGAR TRADELINKS,,
ARIES DISTRIBUTORS PVT LTD.-TRICHURE,,
AJAY DISTRIBUTORS,,
ZEPHYR (KOLKATA),,
ZEPHYR (KARNAL),,
VASANT KUMAR & COMPANY -KOLKATA,,
R K AGENCIES,,
PAUL ENTERPRISE,,
NEW METRO MEDICAL AGENCIES,,
NIJHON PHARMACEUTICALS-JAMMU,,
EMPEE DISTRIBUTORS - (HQ - HUBLI),,
A.K.PHARMA,,
EMPEE DISTRIBUTORS - (HQ - DAVANAGERE),,
EMPEE DISTRIBUTORS - (HQ - GULBARGA),,
EMPEE DISTRIBUTORS - (HQ - MANGALORE),,
DO NOT USE SENTHIL GANAPATHY AGENCIES-Galderma India Pvt. Ltd.,,
KAKADE AGENCIES-Galderma India Pvt. Ltd.,,
MEHTA & SONS-Galderma India Pvt. Ltd.,,
SUGANCHAND MEDICAL STORES AGENCY DEPARTMENT,,
SREE BALAJI MEDICAL AGENCY,,
RAJYOG DISTRIBUTORS,,
SHREE SIMBA CHEMIST ( VILLAGE ROAD ),,
DELHI DISTRIBUTORS,,
APOLLO PHARMACY (KOLKATA),,
APOLLO PHARMACY (BANGALORE),,
SHREE ENTERPRISES-Galderma India Pvt. Ltd.,,
NAMAN MEDICAL AGENCIES,,
SIDDHAMANGAL PHARMA LLP,,
ASIA INSTITUTE OF HAIR TRANSPLANT PVT.LTD,,
DADASHRAY MEDICAL & SURGICALS,,
Dhanraj Rekhchand Mohare,,
DR MEENU SETHI,,
(Do Not Use -Dr Vibha),,
FIRST CHOICE MEDICO & GENERAL STORE,,
KHANEJA MEDICAL AGENCY,,
MEB MEGA ENGINEERS & BUILDERS PRIVATE LIMITED,,
VARDHMAN MEDISALES PVT LTD-(MANGALORE),,
KUNAL PHARMA DISTRIBUTORS PVT.LTD.,,
ARUNKUMAR-072726,,
BISHAL RAY-058239,,
GAJJAR JIGARKUMAR-071523,,
KAISH MOHAMMAD-073395,,
AHUJA MEDICAL AGENCIES,,
NEW KIRAN STORE,,
SATISH SUNIL DONGRE-073116,,
SUBIR MAITY-072584,,
SUMANTA SETH-053065,,
SUPRITA BISWAS-072861,,
SUYOG BABURAV KADAM-073030,,
TARPAN KUMAR HALDER-037899,,
NAVIN TRADERS,,
PALEPU PHARMA PVT.LTD - (MOGAPPAIR) -CHENNAI,,
DR MINALI MIDHA (S&B),,
SHREE AMBICA MEDICALS-Galderma India Pvt. Ltd.,,
DR AMRITA MISHRA,,
DR JYOTI MALIK,,
GOPAL MEDICAL STORES,,
Mahesha N-202239660,,
SHIV ENTERPRISE,,
MALANI PHARMACY-VADODARA,,
SUPERMARKET GROCERY SUPPLIES PRIVATE LIMITED,,
PLANET PHARMA PVT LTD - MUMBAI,,
SHREE BALAJI ENTERPRISES,,
HEALTHSCAPE TECHNOLOGY LLP -DELHI,,
PLANET PHARMA PVT LTD - DELHI,,
AASHI ENTERPRISES,,
HEALTHSCAPE TECHNOLOGY LLP -HYDERABAD,,
RAJPUTANA AGENCIES (First Cry),,
PLANET PHARMA PVT LTD - BANGALORE,,
RAJPUTANA AGENCIES-Galderma,,
DR HERA TABASSUM,,
RAJ MARKETING,,
JALARAM & SONS,,
MANN ENTERPRISES,,
SKIN AFFAIR-Galderma India Pvt. Ltd.,,
AMIT DISTRIBUTORS -AURANGABAD,,
RUKMANI PHARMACEUTICALS  (Dr. DEBIDUTTA NAYAK),,
LIPIKA PHARMA (DR SUBHRANLSU SEKHAR PATTNAIK),,
SWARUP ENTERPRISE,,
SATISH KUMAR-073837,,
MYNTRA JABONG INDIA PRIVATE LIMITED - PATNA,,
SUCCESS PHARMAA & VACCINE,,
DR R P SONI,,
FUTURE RETAIL LIMITED (HQ- SELF- MEDICATION) JOGESHWARI,,
FANDOM TRADERS PRIVATE LIMITED,,
MORE RETAIL LIMITED-PUNE,,
DFINE PHARMACY,,
AROGYA MEDICAL,,
RAJPUTANA AGENCIES (MT-WEST),,
DELHI PHARMACY,,
M/S KHATU SHYAM HEALTH CARE C/O DR PRASOON SACHAN,,
RAJENDRA MEDICOS-Galderma India Pvt. Ltd.,,
ORIENTAL MEDICAL STORE AGENCIES-Galderma,,
RAJENDRA MEDICOS,,
JAGOTA PHARMA & SONS PVT.LTD,,
SAI TRADING COMPANY,,
CENTRAL PHARMA C/O DR.SHAIKH MOHAMMED KAYUM,,
M/S CENTRAL PHARMA,,
DR S S TIWARI,,
BABY WORLD-VARANASI,,
PADMA MEDICALS-Galderma,,
MEHROTRA & SON'S ENTERPRISES,,
